ID,FIELD
IT\ICCU\MSM\0002819,*Io la vidi
IT\ICCU\MSM\0000757,Kyrie e Gloria.
IT\ICCU\MSM\0000759,Gloria.
IT\ICCU\MSM\0000763,Kyrie e Gloria.
IT\ICCU\MSM\0003627,Quest'acciaro
IT\ICCU\MSM\0003628,Fido a voi le mie vendette
IT\ICCU\MSM\0003629,Morir ciel qual concento
IT\ICCU\MSM\0003630,Sinfonia ...
IT\ICCU\MSM\0004100,Ouverture
IT\ICCU\MSM\0001810,Introito
IT\ICCU\MSM\0001811,Introito
IT\ICCU\MSM\0001812,Introito
IT\ICCU\MSM\0001813,Minuetto
IT\ICCU\MSM\0001819,Introito
IT\ICCU\MSM\0001820,Introito
IT\ICCU\MSM\0001821,Introito
IT\ICCU\MSM\0001822,Introito
IT\ICCU\MSM\0001823,Introito
IT\ICCU\MSM\0001824,Introito
IT\ICCU\MSM\0001825,Introito
IT\ICCU\MSM\0001826,Introito
IT\ICCU\MSM\0001969,Di piacere a due campioni
IT\ICCU\MSM\0001970,Quest'amplesso e quest'addio
IT\ICCU\MSM\0001971,Era un dì nel tempo
IT\ICCU\MSM\0001974,Consola amato bene
IT\ICCU\MSM\0001975,Ah che nel pianto mio
IT\ICCU\MSM\0001976,Dorina mia carina
IT\ICCU\MSM\0002288,No non temer quell'anima
IT\ICCU\MSM\0002456,*Questo cor ti giura amore
IT\ICCU\MSM\0002457,Finale
IT\ICCU\MSM\0002458,Sinfonia ...
IT\ICCU\MSM\0002459,Sinfonia ...
IT\ICCU\MSM\0002460,Sinfonia ...
IT\ICCU\MSM\0000752,Gloria.
IT\ICCU\MSM\0000760,Gloria.
IT\ICCU\MSM\0000761,Gloria.
IT\ICCU\MSM\0003920,Padre sposo io vado a' morte
IT\ICCU\MSM\0003921,"Se cerca, Se dice"
IT\ICCU\MSM\0004087,Ouverture
IT\ICCU\MSM\0004091,Ballo
IT\ICCU\MSM\0001800,Introito
IT\ICCU\MSM\0001801,Introito
IT\ICCU\MSM\0001802,Introito
IT\ICCU\MSM\0001803,Marcia religiosa
IT\ICCU\MSM\0001805,Preludio
IT\ICCU\MSM\0001807,Introito
IT\ICCU\MSM\0001808,"Introito,*Graduale,*Communio"
IT\ICCU\MSM\0001814,Introito
IT\ICCU\MSM\0001815,Introito
IT\ICCU\MSM\0001816,Introito
IT\ICCU\MSM\0001817,Introito
IT\ICCU\MSM\0001950,Questo palpito soave
IT\ICCU\MSM\0001951,Per dirupi e per foreste
IT\ICCU\MSM\0001959,Deh m'ascolta
IT\ICCU\MSM\0001960,Vidi un giorno un vago oggetto
IT\ICCU\MSM\0001962,Se vi credete offeso
IT\ICCU\MSM\0001963,Inquietudine
IT\ICCU\MSM\0001964,Parto se vuoi
IT\ICCU\MSM\0001966,Che farò nel mio dolore
IT\ICCU\MSM\0002123,Ombra temuta e cara
IT\ICCU\MSM\0002464,Sinfonia ...
IT\ICCU\MSM\0002465,Sinfonia ...
IT\ICCU\MSM\0003281,Rondo
IT\ICCU\MSM\0003283,Rondo
IT\ICCU\MSM\0003288,variazioni
IT\ICCU\MSM\0001074,Laudamus te
IT\ICCU\MSM\0004082,walzer
IT\ICCU\MSM\0004083,walzer
IT\ICCU\MSM\0001792,Introito
IT\ICCU\MSM\0001793,Introito
IT\ICCU\MSM\0001794,Introito
IT\ICCU\MSM\0001795,Introito
IT\ICCU\MSM\0001796,Introito
IT\ICCU\MSM\0001797,Introito
IT\ICCU\MSM\0001798,Introito
IT\ICCU\MSM\0001809,Introito
IT\ICCU\MSM\0001939,Preludio
IT\ICCU\MSM\0001941,"Zitto io sento, o sentir parmi"
IT\ICCU\MSM\0001942,Ombra che pallida
IT\ICCU\MSM\0001943,Conservati fedele
IT\ICCU\MSM\0001944,Ah che vuol dir quel pianto
IT\ICCU\MSM\0001945,che l'ira mia disarmi
IT\ICCU\MSM\0001946,Giura se pace vuoi
IT\ICCU\MSM\0001952,Finale primo
IT\ICCU\MSM\0001954,Saluto mattutino
IT\ICCU\MSM\0001956,Minuetto
IT\ICCU\MSM\0001958,Colombino e Colombina
IT\ICCU\MSM\0001967,Ah che mi manca l'anima
IT\ICCU\MSM\0002108,Gloria. Laudamus te e Gratias agimus
IT\ICCU\MSM\0002109,Gloria. Domine Deus
IT\ICCU\MSM\0002110,Gloria. Qui tollis
IT\ICCU\MSM\0002111,"Gloria. Qui sedes, Quoniam e Finale"
IT\ICCU\MSM\0002112,Credo.
IT\ICCU\MSM\0002113,sanctus
IT\ICCU\MSM\0002950,Nel lasciar le natie sponde
IT\ICCU\MSM\0002951,La baldanza del tuo orgoglio
IT\ICCU\MSM\0002953,Si? vendetta a un cor straziato
IT\ICCU\MSM\0002954,Si? vendetta a un cor straziato
IT\ICCU\MSM\0002957,Angiol di pace
IT\ICCU\MSM\0003273,Rondo
IT\ICCU\MSM\0003274,Allegro
IT\ICCU\MSM\0003275,Rondo
IT\ICCU\MSM\0003276,variazioni
IT\ICCU\MSM\0003277,variazioni
IT\ICCU\MSM\0001253,"Venerdì santo, 3."
IT\ICCU\MSM\0004084,walzer
IT\ICCU\MSM\0004085,walzer
IT\ICCU\MSM\0004086,walzer
IT\ICCU\MSM\0001783,Introito
IT\ICCU\MSM\0001784,Introito
IT\ICCU\MSM\0001785,Introito
IT\ICCU\MSM\0001786,Introito
IT\ICCU\MSM\0001787,Introito
IT\ICCU\MSM\0001788,Introito
IT\ICCU\MSM\0001789,Mesta canzone!
IT\ICCU\MSM\0001799,Introito
IT\ICCU\MSM\0001928,Pensa alla patria e intrepido
IT\ICCU\MSM\0001929,Lasciami o Ciel pietoso
IT\ICCU\MSM\0001930,variazioni
IT\ICCU\MSM\0001931,se mai turbo il tuo riposo
IT\ICCU\MSM\0001932,L' ALTO IMPERO IN VOI TRAFFONDO
IT\ICCU\MSM\0001933,Se il fato barbaro
IT\ICCU\MSM\0001934,Pace io reco
IT\ICCU\MSM\0001935,A diventar crudele il tuo rigor
IT\ICCU\MSM\0001936,"*Dirò che perfida, che falsa sei"
IT\ICCU\MSM\0001948,"Guardami, padre amato"
IT\ICCU\MSM\0002087,"Gloria. Qui sedes, Quoniam e Finale"
IT\ICCU\MSM\0002088,Credo.
IT\ICCU\MSM\0002089,sanctus
IT\ICCU\MSM\0002091,Anima cruda e cotta
IT\ICCU\MSM\0002092,Dirò vorrai sposina mia
IT\ICCU\MSM\0002095,Che tremore nelle vene
IT\ICCU\MSM\0002103,Oh dolce istante
IT\ICCU\MSM\0002104,quelle pupille tenere
IT\ICCU\MSM\0002105,Svenami ormai crudele
IT\ICCU\MSM\0002106,Ingresso
IT\ICCU\MSM\0002107,Gloria in excelsis.
IT\ICCU\MSM\0002259,Ne'di? felici
IT\ICCU\MSM\0002779,Parte 1.
IT\ICCU\MSM\0003100,Genitori Genitoque
IT\ICCU\MSM\0003440,Danza villereccia
IT\ICCU\MSM\0003584,Questa scuffia e? fuor di moda
IT\ICCU\MSM\0003599,Io sentii tremar la mano
IT\ICCU\MSM\0003600,Brano
IT\ICCU\MSM\0003737,*Chi d'amor squarciò la benda
IT\ICCU\MSM\0001238,O d'immensa pietà fonte inesausta
IT\ICCU\MSM\0001239,O d'immensa pietà fonte inesausta
IT\ICCU\MSM\0004239,Sinfonia ...
IT\ICCU\MSM\0004242,Trema il passo
IT\ICCU\MSM\0004243,*Odi i supremi accenti
IT\ICCU\MSM\0001791,Introito
IT\ICCU\MSM\0001919,Perfido a questo eccesso
IT\ICCU\MSM\0001920,Mirata oh Dio quel ciglio
IT\ICCU\MSM\0001921,Quant'è dolce quant'è grato
IT\ICCU\MSM\0001922,Son morta oh Dio
IT\ICCU\MSM\0001923,Mazurka
IT\ICCU\MSM\0001924,Ah quei detti quella voce
IT\ICCU\MSM\0001925,Perfido a questo eccesso
IT\ICCU\MSM\0001937,walzer
IT\ICCU\MSM\0002076,Ah perdona al primo affetto
IT\ICCU\MSM\0002077,Vengo aspettate
IT\ICCU\MSM\0002078,Signore deh concedete
IT\ICCU\MSM\0002079,Se fiato in corpo avete
IT\ICCU\MSM\0002082,Gloria in excelsis.
IT\ICCU\MSM\0002083,Gloria. Laudamus te e Gratias agimus
